source_file,reference,status,resolved_target
extensions/boring/docs/features/performance.md,../guides/pro-tips.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/../guides/pro-tips.md
extensions/boring/docs/features/performance.md,./mcp-tools.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/mcp-tools.md
extensions/boring/docs/features/performance.md,./quality-gates.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/quality-gates.md
extensions/boring/docs/features/performance_zh.md,../guides/pro-tips_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/../guides/pro-tips_zh.md
extensions/boring/docs/features/performance_zh.md,./mcp-tools_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/mcp-tools_zh.md
extensions/boring/docs/features/performance_zh.md,./quality-gates_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/quality-gates_zh.md
extensions/boring/docs/features/quality-gates.md,../guides/git-hooks.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/../guides/git-hooks.md
extensions/boring/docs/features/quality-gates.md,../guides/pro-tips.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/../guides/pro-tips.md
extensions/boring/docs/features/quality-gates.md,./performance.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/performance.md
extensions/boring/docs/features/quality-gates_zh.md,../guides/git-hooks_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/../guides/git-hooks_zh.md
extensions/boring/docs/features/quality-gates_zh.md,../guides/pro-tips_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/../guides/pro-tips_zh.md
extensions/boring/docs/features/quality-gates_zh.md,./performance_zh.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/performance_zh.md
extensions/boring/docs/features/rag.md,file:///d:/User/Desktop/ralphgeminicode/boring-gemini/docs/features/monitor.md,missing,/Users/steven/my-supremepowers/extensions/boring/docs/features/file:/d:/User/Desktop/ralphgeminicode/boring-gemini/docs/features/monitor.md
extensions/boring/docs/features/rag_zh.md,file:///d:/User/Desktop/ralphgeminicode/boring-gemini/docs/features/monitor_zh.md,missing,/Users/steven/my-supremepowers/extensions/boring/docs/features/file:/d:/User/Desktop/ralphgeminicode/boring-gemini/docs/features/monitor_zh.md
extensions/boring/docs/features/shadow-mode.md,../guides/pro-tips.md,ok,/Users/steven/my-supremepowers/extensions/boring/docs/features/../guides/pro-tips.md
